Year,Site,Type,Management,Surveys,Survey Hrs,LT Max Adults,LT Nests,LT Nests Hatched,LT Chicks 0-14,LT Chicks 15-21,LT Fledglings,PP Max Adults,PP Nests,PP Nests Hatched,PP Chicks 0-14,PP Chicks 15-28,PP Fledglings
2018,Leaman,Sandpit,HPFTS,27,15,3,1,1,2,0,0,4,4,3,2,0,0
2018,Newark East,Sandpit,HPFTA,30,37,25,23,20,44,37,37,5,3,3,8,6,6
2018,Newark West,Sandpit,HPFTS,30,32,18,11,10,20,18,18,8,5,4,13,0,0
2018,Non-Access Islands Kearney Broadfoot South,Sandpit,BFT,32,12,3,0,0,0,0,0,2,1,0,0,0,0
2018,NPPD Lexington,Sandpit,PFT,33,43,20,9,8,19,10,16,8,4,4,11,3,7
2018,Trust Wildrose East,Sandpit,N,11,7,0,0,0,0,0,0,4,2,0,0,0,0
2017,Blue Hole,Sandpit,PFT,24,42,23,17,9,18,16,16,17,12,9,26,20,20
2017,Cottonwood Ranch,Sandpit,HPFT,24,12,1,0,0,0,0,0,2,1,1,4,1,1
2017,DeWeese,Sandpit,NA,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2017,Dyer,Sandpit,GHPFT,34,33,15,11,11,25,23,21,8,4,2,6,4,3
2017,Follmer,Sandpit,BHPFT,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2017,Hooker Brothers East,Sandpit,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,Hooker Brothers Southeast,Sandpit,NA,8,4,6,0,0,0,0,0,0,0,0,0,0,0
2017,Johnson,Sandpit,PFT,17,17,16,7,6,12,0,0,1,1,0,0,0,0
2017,Kearney Broadfoot South,Sandpit,BHPFT,30,45,26,31,16,27,7,7,12,10,6,18,2,2
2017,Leaman,Sandpit,HPFT,23,18,5,3,2,4,0,0,7,5,1,4,2,0
2017,Newark East,Sandpit,HPFTA,33,15,14,10,5,12,11,11,3,1,1,4,4,4
2017,Newark West,Sandpit,HPFT,28,22,18,15,6,15,11,11,11,8,6,21,11,11
2017,Non-Access Islands Kearney Broadfoot South,Sandpit,BFT,30,13,15,13,4,5,0,0,2,3,0,0,0,0
2017,NPPD Lexington,Sandpit,PFT,23,33,20,11,4,11,10,10,10,4,3,5,5,5
2017,Trust Wildrose East,Sandpit,N,18,10,0,0,0,0,0,0,4,1,1,4,4,1
2016 (O),Blue Hole,Sandpit,EFGJ,87,153,18,19,4,9,8,7,21,8,3,10,10,9
2016 (O),Cottonwood Ranch,Sandpit,AEFG,46,40,4,0,0,0,0,0,6,3,1,1,1,0
2016 (O),DeWeese,Sandpit,HM,7,4,0,0,0,0,0,0,1,0,0,0,0,0
2016 (O),Dyer,Sandpit,ABEFG,75,78,14,9,7,16,10,9,11,5,4,9,1,0
2016 (O),Elm Creek Complex East,Constructed Island,AFG,9,4,8,0,0,0,0,0,0,0,0,0,0,0
2016 (O),Elm Creek Complex West,Constructed Island,GK,8,3,4,0,0,0,0,0,1,0,0,0,0,0
2016 (O),Follmer,Sandpit,AEFGJM,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2016 (O),Hooker Brothers Southeast,Sandpit,HM,15,7,6,3,3,5,0,0,2,0,0,0,0,0
2016 (O),Johnson,Sandpit,EFG,49,46,20,9,5,11,11,11,4,1,1,2,2,1
2016 (O),Kearney Broadfoot South,Sandpit,AEFGB,82,126,37,21,12,24,20,20,13,8,5,18,6,4
2016 (O),Leaman,Sandpit,AEFG,71,84,24,14,12,32,11,6,8,4,4,15,11,11
2016 (O),Newark East,Sandpit,AEFGJLMB,58,31,7,1,1,3,3,2,6,3,3,7,7,5
2016 (O),Newark West,Sandpit,AEFG,78,91,21,10,8,17,7,6,10,7,7,23,18,10
2016 (O),Non-Access Islands Kearney Broadfoot South,Sandpit,EFM,30,9,20,8,7,17,10,9,1,1,1,2,2,0
2016 (O),NPPD Lexington,Sandpit,EFG,78,110,15,11,4,8,8,8,10,6,3,9,4,4
2016 (O),Plum Creek Complex (Dyer Island),Constructed Island,F,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2016 (O),PRRIP Cottonwood Ranch Island,Constructed Island,AFG,9,4,2,0,0,0,0,0,6,0,0,0,0,0
2016 (O),Shoemaker Island (Binfield) Complex,Constructed Island,FG,10,7,8,0,0,0,0,0,3,0,0,0,0,0
2016 (O),Trust Wildrose East,Sandpit,K,22,21,10,0,0,0,0,0,5,4,0,0,0,0
2016 (I),Blue Hole,Sandpit,EFGJ,87,153,18,19,7,13,3,2,21,13,5,16,13,7
2016 (I),Cottonwood Ranch,Sandpit,AEFG,46,40,4,1,0,0,0,0,6,3,3,11,0,0
2016 (I),DeWeese,Sandpit,HM,7,4,0,0,0,0,0,0,1,0,0,0,0,0
